CASE_STATUS,RECEIVED_DATE,DECISION_DATE,VISA_CLASS,JOB_TITLE,FULL_TIME_POSITION,EMPLOYER_STATE,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,PREVAILING_WAGE,processing_days
Certified,2021-09-26,2021-10-01,H-1B,APPLICATIONS SUPPORT ANALYST/ADMINISTRATOR,Y,NJ,GA,92000.0,87485.0,5
Certified,2021-09-26,2021-10-01,H-1B,Designer,Y,MI,MI,56181.0,56181.0,5
Certified,2021-09-26,2021-10-01,H-1B,Data Analyst,Y,FL,MA,60000.0,59238.0,5
Certified,2021-09-26,2021-10-01,H-1B,Pharmaceutical Chemist,Y,MN,MN,56160.0,53851.0,5
Certified,2021-09-26,2021-10-01,H-1B,Senior Systems Analyst JC60,Y,TX,TN,70325.0,70325.0,5
Certified,2021-09-26,2021-10-01,H-1B,Regional Sales Manager,Y,MI,MI,90730.0,90730.0,5
Certified,2021-09-26,2021-10-01,H-1B,Software Engineer - CAS-77363-R8X2M5,Y,CA,CA,130000.0,104291.0,5
Certified,2021-09-26,2021-10-01,H-1B,Quality Assurance Analyst ,Y,TX,TX,90000.0,69888.0,5
Certified,2021-09-26,2021-10-01,H-1B,Technical Architect,Y,NJ,VA,98550.0,98550.0,5
Certified,2021-09-26,2021-10-01,H-1B,Senior Manager JC45,Y,TX,CT,106933.0,106933.0,5
Certified,2021-09-26,2021-10-01,H-1B,Data Scientist,Y,MD,MD,90000.0,82202.0,5
Certified,2021-09-26,2021-10-01,H-1B,"Scientist 1, Analytical",Y,MA,MA,92000.0,84947.0,5
Certified,2021-09-26,2021-10-01,H-1B,COMPUTER SYSTEMS ANALYST,Y,NJ,MO,76606.0,76606.0,5
Certified,2021-09-26,2021-10-01,E-3 Australian,SOFTWARE DEVELOPER,Y,OK,OK,60341.0,60341.0,5
Certified,2021-09-26,2021-10-01,H-1B,Pharmaceutical Chemist,Y,MN,MN,60000.0,53851.0,5
Certified,2021-09-26,2021-10-01,H-1B,Manager JC50,Y,TX,GA,94203.0,94203.0,5
Certified,2021-09-26,2021-10-01,H-1B,"Computer Software Engineer, Applications",Y,TX,NY,110408.0,110408.0,5
Certified,2021-09-26,2021-10-01,E-3 Australian,Sr. Software Engineer,Y,TX,TX,58177.0,58177.0,5
Certified,2021-09-26,2021-10-01,H-1B,PHYSICAL THERAPIST,Y,MI,MI,77709.0,77709.0,5
Certified,2021-09-26,2021-10-01,H-1B,Sr. Software Engineer,Y,WA,WA,185000.0,162510.0,5
